University of Michigan	249066
University of Minnesota	125444
University of Illinois at Urbanaâ€“Champaign	102147
University of California, Northern Regional Library Facility	75387
Northwestern University	68518
Pennsylvania State University	48859
Technical Report Archive & Image Library	44437
Purdue University	43134
Cornell University	29898
Harvard University	23872
University of California, San Diego	21958
University of California, Riverside	12556
The Ohio State University	12442
Michigan State University	12418
University of California, Southern Regional Library Facility	10762
University of California, Santa Cruz	10715
University of Virginia	10253
Indiana University	9506
New York Public Library	7492
State University System of Florida	6960
University of Wisconsin, Madison	6781
University of California, Los Angeles	6741
University of California, Berkeley	6100
University of Texas at Austin	5905
Princeton University	4910
University of Chicago	3145
University of California, Davis	2516
University of Illinois at Urbana-Champaign	2439
Library of Congress	1717
University of Iowa	1370
Columbia University	837
Duke University	696
University of Massachusetts Amherst	503
The Getty Research Institute	303
University of North Carolina at Chapel Hill	148
Yale University	111
University of Connecticut	61
University of Alberta	59
North Carolina State University	49
Boston College	25
University of California, Irvine	22
Tufts University	20
University of Missouri, Columbia	8
University of California, San Francisco	7
Emory University	7
Texas A&M University	4
McGill University	3
University of Delaware	1
Universidad Complutense de Madrid	1
University of Maryland, College Park	1
University of Washington	1
